site_sector_map_ID,policy_ID,sector
321,93,News
322,133,News
323,164,News
324,186,News
325,200,News
326,303,News
327,325,News
328,481,News
329,862,News
330,919,News
331,1089,News
332,1259,News
333,1264,News
334,1360,News
335,1361,News
336,1618,News
337,1637,News
338,1683,News
339,21,Sports
340,26,Sports
341,175,Sports
342,186,Sports
343,200,Sports
344,303,Sports
345,325,Sports
346,359,Sports
347,591,Sports
348,1050,Sports
349,1089,Sports
350,1300,Sports
351,1582,Sports
352,1610,Sports
353,1618,Sports
354,1636,Sports
355,1673,Sports
356,1683,Sports
357,1703,Sports
358,1708,Sports
359,1713,Sports
360,20,Computers
361,26,Computers
362,105,Computers
363,144,Computers
364,186,Computers
365,303,Computers
366,453,Computers
367,456,Computers
368,591,Computers
369,686,Computers
370,856,Computers
371,919,Computers
372,928,Computers
373,962,Computers
374,1050,Computers
375,1099,Computers
376,1224,Computers
377,1259,Computers
378,1264,Computers
379,1510,Computers
380,1582,Computers
381,105,Shopping
382,144,Shopping
383,175,Shopping
384,348,Shopping
385,453,Shopping
386,584,Shopping
387,586,Shopping
388,640,Shopping
389,652,Shopping
390,807,Shopping
391,884,Shopping
392,1034,Shopping
393,1106,Shopping
394,1164,Shopping
395,1470,Shopping
396,1498,Shopping
397,1694,Shopping
398,33,World
399,58,World
400,105,World
401,133,World
402,144,World
403,175,World
404,303,World
405,320,World
406,359,World
407,453,World
408,523,World
409,531,World
410,591,World
411,635,World
412,642,World
413,686,World
414,883,World
415,940,World
416,988,World
417,1050,World
418,1089,World
419,1164,World
420,1300,World
421,1361,World
422,1470,World
423,1498,World
424,1539,World
425,1582,World
